Item,Number,Link,Price
Keycaps,50x,https://www.aliexpress.com/item/32842379355.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%209.20%21GBP%205.20%21%21GBP%205.20%21%21%21%40211b876e17697629453035202e7d96%2110000001467765215%21ct%21UK%216982223242%21%211%210%21,5.2
Cherry MX Tactile Brown Switches,50x,https://www.aliexpress.com/item/1005006255961111.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%2013.85%21GBP%207.89%21%21GBP%207.89%21%21%21%40211b876e17697629453035202e7d96%2112000036489552498%21ct%21UK%216982223242%21%211%210%21,7.89
Cherry MX Hot Swap Plates,50x,https://www.aliexpress.com/item/1005006152044565.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%207.85%21GBP%205.89%21%21GBP%205.89%21%21%21%40211b876e17697629524495432e7d96%2112000035999498755%21ct%21UK%216982223242%21%211%210%21,5.89
1N4148 SMD Diodes,50x,https://www.aliexpress.com/item/1005002340232205.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%200.93%21GBP%200.93%21%21GBP%200.93%21%21%21%40211b876e17697629524495432e7d96%2112000020176570623%21ct%21UK%216982223242%21%211%210%21,0.93
806K Resistors,2x,https://www.aliexpress.com/item/1005003491642237.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%202.51%21GBP%200.99%21%21GBP%200.99%21%21%21%40211b876e17697629453035202e7d96%2112000026035942987%21ct%21UK%216982223242%21%211%210%21,0.99
2M Resistors,2x,https://www.aliexpress.com/item/1005003491642237.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%202.51%21GBP%200.99%21%21GBP%200.99%21%21%21%40211b876e17697629453035202e7d96%2112000026036622027%21ct%21UK%216982223242%21%211%210%21,0.99
XIAO nrf52840 SMD,2x,https://www.aliexpress.com/item/1005009615125638.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%209.99%21GBP%209.99%21%21GBP%209.99%21%21%21%40211b876e17697629524495432e7d96%2112000049639207551%21ct%21UK%216982223242%21%212%210%21,9.99
PCB,2x,,20.59
3D Printed Case,2x,,
3D Printed Case Bottom,2x,,
502030 Lipo,2x,https://www.aliexpress.com/item/1005006412770583.html?spm=a2g0o.cart.0.0.464c38daBH0GFK&mp=1&pdp_npi=6%40dis%21GBP%21GBP%207.55%21GBP%204.60%21%21GBP%204.60%21%21%21%40211b876e17697629524495432e7d96%2112000037073950637%21ct%21UK%216982223242%21%211%210%21,4.6
